id,key,new_key,question_text,display_text,new display text
84,weba-blackboard,Infra,Blackboard,How many Anganwadis have a blackboard?,Does the Anganwadi have a blackboard?
85,weba-tlm,Learning,Teaching and Learning Material,  How many Anganwadis have Teaching and Learning Material?,Does the Anganwadi have Teaching and Learning Material?
86,weba-play-material,Infra,Play material,  How many Anganwadis have Play Material?,Does the Anganwadi have Play Material?
87,webs-designated-librarian,Learning,Designated Librarian/Teacher,  How many schools have a designated Librarian or Teacher?,Does the school have a designated Librarian or Teacher?
88,webs-library-timetable,Learning,Class-wise timetable for the Library,  How many schools have a class-wise timetable for Library?,Does the school have a class-wise timetable for Library?
89,webs-tlm,Learning,Teaching and Learning material,  How many schools have Teaching and Learning Material?,Does the school have Teaching and Learning Material?
90,webs-number-classrooms,Academic,Sufficient number of class rooms,  How many schools have sufficient class rooms?,Does the school have sufficient class rooms?
91,webs-50percent-present,Academic,Were at least 50% of the children enrolled present on the day you visited the school?,  In how many schools were at least 50% of the children enrolled present??,Were at least 50% of the children enrolled in the School  present on the day of the visit?
92,webs-teachers-present,Academic,Were all teachers present on the day you visited the school?,  In how many schools were all the teachers present on the day of the school visit?,Were all the teachers present on the day of the school visit?
141,webs-school-open,Academic,Was the school open?,  Was the school open?,Was the school open?
142,webs-all-toilets-functional,Hygiene,Are all the toilets in the school functional?,,
